dataset	sample	filtered	field	bytes	elements
1m_brain	ASCNT_3	FALSE	cell	15204000	9961548
1m_brain	ASCNT_3	FALSE	end	12759760	9961548
1m_brain	ASCNT_3	FALSE	end_max	311308	9961548
1m_brain	ASCNT_3	FALSE	metadata	78939	9961548
1m_brain	ASCNT_3	FALSE	start	14245100	9961548
1m_brain	ASCT_1	FALSE	cell	534903296	262654473
1m_brain	ASCT_1	FALSE	end	336221488	262654473
1m_brain	ASCT_1	FALSE	end_max	8207964	262654473
1m_brain	ASCT_1	FALSE	metadata	1988929	262654473
1m_brain	ASCT_1	FALSE	start	215097292	262654473
1m_brain	ASCT_2	FALSE	cell	511048252	251603854
1m_brain	ASCT_2	FALSE	end	321603788	251603854
1m_brain	ASCT_2	FALSE	end_max	7862632	251603854
1m_brain	ASCT_2	FALSE	metadata	1403432	251603854
1m_brain	ASCT_2	FALSE	start	178944356	251603854
1m_brain	ASCT_3	FALSE	cell	216846276	113760500
1m_brain	ASCT_3	FALSE	end	145613780	113760500
1m_brain	ASCT_3	FALSE	end_max	3555024	113760500
1m_brain	ASCT_3	FALSE	metadata	857312	113760500
1m_brain	ASCT_3	FALSE	start	99925716	113760500
1m_brain	BFEXA	FALSE	cell	8093648	6335496
1m_brain	BFEXA	FALSE	end	8117088	6335496
1m_brain	BFEXA	FALSE	end_max	197996	6335496
1m_brain	BFEXA	FALSE	metadata	28495	6335496
1m_brain	BFEXA	FALSE	start	10005900	6335496
1m_brain	BNGA	FALSE	cell	3071520	2978336
1m_brain	BNGA	FALSE	end	3816080	2978336
1m_brain	BNGA	FALSE	end_max	93084	2978336
1m_brain	BNGA	FALSE	metadata	15458	2978336
1m_brain	BNGA	FALSE	start	5173596	2978336
1m_brain	CBGRC	FALSE	cell	328540032	161755706
1m_brain	CBGRC	FALSE	end	207207920	161755706
1m_brain	CBGRC	FALSE	end_max	5054876	161755706
1m_brain	CBGRC	FALSE	metadata	1524984	161755706
1m_brain	CBGRC	FALSE	start	142317676	161755706
1m_brain	CBINH	FALSE	cell	412044	527279
1m_brain	CBINH	FALSE	end	675724	527279
1m_brain	CBINH	FALSE	end_max	16488	527279
1m_brain	CBINH	FALSE	metadata	5831	527279
1m_brain	CBINH	FALSE	start	1096100	527279
1m_brain	CHO	FALSE	cell	3608776	2816865
1m_brain	CHO	FALSE	end	3609112	2816865
1m_brain	CHO	FALSE	end_max	88036	2816865
1m_brain	CHO	FALSE	metadata	28013	2816865
1m_brain	CHO	FALSE	start	4953308	2816865
1m_brain	CNGA_1	FALSE	cell	11297288	8817463
1m_brain	CNGA_1	FALSE	end	11296936	8817463
1m_brain	CNGA_1	FALSE	end_max	275556	8817463
1m_brain	CNGA_1	FALSE	metadata	36486	8817463
1m_brain	CNGA_1	FALSE	start	13172572	8817463
1m_brain	CNGA_2	FALSE	cell	12214868	9533578
1m_brain	CNGA_2	FALSE	end	12214164	9533578
1m_brain	CNGA_2	FALSE	end_max	297936	9533578
1m_brain	CNGA_2	FALSE	metadata	36329	9533578
1m_brain	CNGA_2	FALSE	start	14088996	9533578
1m_brain	CNMIX	FALSE	cell	1116612	1232015
1m_brain	CNMIX	FALSE	end	1578692	1232015
1m_brain	CNMIX	FALSE	end_max	38512	1232015
1m_brain	CNMIX	FALSE	metadata	9360	1232015
1m_brain	CNMIX	FALSE	start	2373028	1232015
1m_brain	COP	FALSE	cell	29615888	19341847
1m_brain	COP	FALSE	end	24773616	19341847
1m_brain	COP	FALSE	end_max	604444	19341847
1m_brain	COP	FALSE	metadata	103880	19341847
1m_brain	COP	FALSE	start	24583964	19341847
1m_brain	CT_1	FALSE	cell	42297612	27627419
1m_brain	CT_1	FALSE	end	35384844	27627419
1m_brain	CT_1	FALSE	end_max	863368	27627419
1m_brain	CT_1	FALSE	metadata	93986	27627419
1m_brain	CT_1	FALSE	start	33629972	27627419
1m_brain	CT_2	FALSE	cell	5905872	5107768
1m_brain	CT_2	FALSE	end	6544176	5107768
1m_brain	CT_2	FALSE	end_max	159628	5107768
1m_brain	CT_2	FALSE	metadata	20090	5107768
1m_brain	CT_2	FALSE	start	8380348	5107768
1m_brain	D12NAC	FALSE	cell	34129560	24270092
1m_brain	D12NAC	FALSE	end	31090232	24270092
1m_brain	D12NAC	FALSE	end_max	758452	24270092
1m_brain	D12NAC	FALSE	metadata	61236	24270092
1m_brain	D12NAC	FALSE	start	30273404	24270092
1m_brain	D1CaB	FALSE	cell	24272092	17521640
1m_brain	D1CaB	FALSE	end	22447756	17521640
1m_brain	D1CaB	FALSE	end_max	547560	17521640
1m_brain	D1CaB	FALSE	metadata	43856	17521640
1m_brain	D1CaB	FALSE	start	23256580	17521640
1m_brain	D1Pu	FALSE	cell	20795884	14789055
1m_brain	D1Pu	FALSE	end	18945500	14789055
1m_brain	D1Pu	FALSE	end_max	462168	14789055
1m_brain	D1Pu	FALSE	metadata	47611	14789055
1m_brain	D1Pu	FALSE	start	19993108	14789055
1m_brain	D2CaB	FALSE	cell	33467996	23799699
1m_brain	D2CaB	FALSE	end	30487996	23799699
1m_brain	D2CaB	FALSE	end_max	743752	23799699
1m_brain	D2CaB	FALSE	metadata	59398	23799699
1m_brain	D2CaB	FALSE	start	29613188	23799699
1m_brain	D2Pu	FALSE	cell	20812148	14800092
1m_brain	D2Pu	FALSE	end	18959044	14800092
1m_brain	D2Pu	FALSE	end_max	462512	14800092
1m_brain	D2Pu	FALSE	metadata	52483	14800092
1m_brain	D2Pu	FALSE	start	19938340	14800092
1m_brain	EC	FALSE	cell	278428	307111
1m_brain	EC	FALSE	end	393612	307111
1m_brain	EC	FALSE	end_max	9608	307111
1m_brain	EC	FALSE	metadata	7261	307111
1m_brain	EC	FALSE	start	680612	307111
1m_brain	ERC_1	FALSE	cell	12001596	10379756
1m_brain	ERC_1	FALSE	end	13298140	10379756
1m_brain	ERC_1	FALSE	end_max	324376	10379756
1m_brain	ERC_1	FALSE	metadata	26141	10379756
1m_brain	ERC_1	FALSE	start	15409332	10379756
1m_brain	ERC_2	FALSE	cell	1659872	1831479
1m_brain	ERC_2	FALSE	end	2346672	1831479
1m_brain	ERC_2	FALSE	end_max	57244	1831479
1m_brain	ERC_2	FALSE	metadata	9848	1831479
1m_brain	ERC_2	FALSE	start	3370908	1831479
1m_brain	ET	FALSE	cell	2800904	2715989
1m_brain	ET	FALSE	end	3479928	2715989
1m_brain	ET	FALSE	end_max	84884	2715989
1m_brain	ET	FALSE	metadata	14414	2715989
1m_brain	ET	FALSE	start	4812444	2715989
1m_brain	FOXP2_1	FALSE	cell	9163044	7151763
1m_brain	FOXP2_1	FALSE	end	9163012	7151763
1m_brain	FOXP2_1	FALSE	end_max	223504	7151763
1m_brain	FOXP2_1	FALSE	metadata	29428	7151763
1m_brain	FOXP2_1	FALSE	start	10902580	7151763
1m_brain	FOXP2_2	FALSE	cell	4349260	3761542
1m_brain	FOXP2_2	FALSE	end	4819516	3761542
1m_brain	FOXP2_2	FALSE	end_max	117560	3761542
1m_brain	FOXP2_2	FALSE	metadata	22327	3761542
1m_brain	FOXP2_2	FALSE	start	6369956	3761542
1m_brain	FOXP2_3	FALSE	cell	6423312	5555308
1m_brain	FOXP2_3	FALSE	end	7117392	5555308
1m_brain	FOXP2_3	FALSE	end_max	173612	5555308
1m_brain	FOXP2_3	FALSE	metadata	21244	5555308
1m_brain	FOXP2_3	FALSE	start	8852348	5555308
1m_brain	FOXP2_4	FALSE	cell	3520056	3045128
1m_brain	FOXP2_4	FALSE	end	3901560	3045128
1m_brain	FOXP2_4	FALSE	end_max	95172	3045128
1m_brain	FOXP2_4	FALSE	metadata	19076	3045128
1m_brain	FOXP2_4	FALSE	start	5273308	3045128
1m_brain	ICGA_1	FALSE	cell	1434968	1391363
1m_brain	ICGA_1	FALSE	end	1782872	1391363
1m_brain	ICGA_1	FALSE	end_max	43492	1391363
1m_brain	ICGA_1	FALSE	metadata	13985	1391363
1m_brain	ICGA_1	FALSE	start	2639420	1391363
1m_brain	ICGA_2	FALSE	cell	12571980	9812417
1m_brain	ICGA_2	FALSE	end	12571820	9812417
1m_brain	ICGA_2	FALSE	end_max	306648	9812417
1m_brain	ICGA_2	FALSE	metadata	38478	9812417
1m_brain	ICGA_2	FALSE	start	14581908	9812417
1m_brain	ITL23_1	FALSE	cell	122170976	68605034
1m_brain	ITL23_1	FALSE	end	87840576	68605034
1m_brain	ITL23_1	FALSE	end_max	2143916	68605034
1m_brain	ITL23_1	FALSE	metadata	311712	68605034
1m_brain	ITL23_1	FALSE	start	69672652	68605034
1m_brain	ITL23_2	FALSE	cell	106844868	64511132
1m_brain	ITL23_2	FALSE	end	82601028	64511132
1m_brain	ITL23_2	FALSE	end_max	2015984	64511132
1m_brain	ITL23_2	FALSE	metadata	243925	64511132
1m_brain	ITL23_2	FALSE	start	64854740	64511132
1m_brain	ITL23_3	FALSE	cell	123158180	74361040
1m_brain	ITL23_3	FALSE	end	95229348	74361040
1m_brain	ITL23_3	FALSE	end_max	2323792	74361040
1m_brain	ITL23_3	FALSE	metadata	194093	74361040
1m_brain	ITL23_3	FALSE	start	73741636	74361040
1m_brain	ITL23_4	FALSE	cell	79738660	52074707
1m_brain	ITL23_4	FALSE	end	66697220	52074707
1m_brain	ITL23_4	FALSE	end_max	1627344	52074707
1m_brain	ITL23_4	FALSE	metadata	129491	52074707
1m_brain	ITL23_4	FALSE	start	56573028	52074707
1m_brain	ITL23_5	FALSE	cell	50387272	32906573
1m_brain	ITL23_5	FALSE	end	42113816	32906573
1m_brain	ITL23_5	FALSE	end_max	1028340	32906573
1m_brain	ITL23_5	FALSE	metadata	114672	32906573
1m_brain	ITL23_5	FALSE	start	38762460	32906573
1m_brain	ITL23_6	FALSE	cell	65522832	42791032
1m_brain	ITL23_6	FALSE	end	54809248	42791032
1m_brain	ITL23_6	FALSE	end_max	1337228	42791032
1m_brain	ITL23_6	FALSE	metadata	109725	42791032
1m_brain	ITL23_6	FALSE	start	48498236	42791032
1m_brain	ITL34	FALSE	cell	52142356	34052849
1m_brain	ITL34	FALSE	end	43616996	34052849
1m_brain	ITL34	FALSE	end_max	1064160	34052849
1m_brain	ITL34	FALSE	metadata	104354	34052849
1m_brain	ITL34	FALSE	start	40051684	34052849
1m_brain	ITL45_1	FALSE	cell	22837852	16240521
1m_brain	ITL45_1	FALSE	end	20805100	16240521
1m_brain	ITL45_1	FALSE	end_max	507528	16240521
1m_brain	ITL45_1	FALSE	metadata	56904	16240521
1m_brain	ITL45_1	FALSE	start	21952692	16240521
1m_brain	ITL45_2	FALSE	cell	4931160	4264774
1m_brain	ITL45_2	FALSE	end	5464056	4264774
1m_brain	ITL45_2	FALSE	end_max	133284	4264774
1m_brain	ITL45_2	FALSE	metadata	21817	4264774
1m_brain	ITL45_2	FALSE	start	7121580	4264774
1m_brain	ITL4_1	FALSE	cell	55207740	34531777
1m_brain	ITL4_1	FALSE	end	44224284	34531777
1m_brain	ITL4_1	FALSE	end_max	1079128	34531777
1m_brain	ITL4_1	FALSE	metadata	140395	34531777
1m_brain	ITL4_1	FALSE	start	39382132	34531777
1m_brain	ITL4_2	FALSE	cell	58646300	38300158
1m_brain	ITL4_2	FALSE	end	49059148	38300158
1m_brain	ITL4_2	FALSE	end_max	1196888	38300158
1m_brain	ITL4_2	FALSE	metadata	119455	38300158
1m_brain	ITL4_2	FALSE	start	43513780	38300158
1m_brain	ITL5_1	FALSE	cell	62855796	41049842
1m_brain	ITL5_1	FALSE	end	52581812	41049842
1m_brain	ITL5_1	FALSE	end_max	1282816	41049842
1m_brain	ITL5_1	FALSE	metadata	93101	41049842
1m_brain	ITL5_1	FALSE	start	47218900	41049842
1m_brain	ITL5_2	FALSE	cell	35645016	23279392
1m_brain	ITL5_2	FALSE	end	29820344	23279392
1m_brain	ITL5_2	FALSE	end_max	727492	23279392
1m_brain	ITL5_2	FALSE	metadata	91520	23279392
1m_brain	ITL5_2	FALSE	start	29247164	23279392
1m_brain	ITL5_3	FALSE	cell	25314664	18001710
1m_brain	ITL5_3	FALSE	end	23060504	18001710
1m_brain	ITL5_3	FALSE	end_max	562564	18001710
1m_brain	ITL5_3	FALSE	metadata	70810	18001710
1m_brain	ITL5_3	FALSE	start	23784300	18001710
1m_brain	ITL5_4	FALSE	cell	10413492	8127639
1m_brain	ITL5_4	FALSE	end	10412996	8127639
1m_brain	ITL5_4	FALSE	end_max	254000	8127639
1m_brain	ITL5_4	FALSE	metadata	33919	8127639
1m_brain	ITL5_4	FALSE	start	12432260	8127639
1m_brain	ITL6_1_1	FALSE	cell	71089752	46426456
1m_brain	ITL6_1_1	FALSE	end	59458728	46426456
1m_brain	ITL6_1_1	FALSE	end_max	1450836	46426456
1m_brain	ITL6_1_1	FALSE	metadata	130961	46426456
1m_brain	ITL6_1_1	FALSE	start	51175596	46426456
1m_brain	ITL6_1_2	FALSE	cell	6781340	5864931
1m_brain	ITL6_1_2	FALSE	end	7513996	5864931
1m_brain	ITL6_1_2	FALSE	end_max	183288	5864931
1m_brain	ITL6_1_2	FALSE	metadata	25100	5864931
1m_brain	ITL6_1_2	FALSE	start	9412276	5864931
1m_brain	ITL6_2_1	FALSE	cell	28465876	20242629
1m_brain	ITL6_2_1	FALSE	end	25929172	20242629
1m_brain	ITL6_2_1	FALSE	end_max	632592	20242629
1m_brain	ITL6_2_1	FALSE	metadata	69593	20242629
1m_brain	ITL6_2_1	FALSE	start	26166196	20242629
1m_brain	ITL6_2_2	FALSE	cell	3667804	3371455
1m_brain	ITL6_2_2	FALSE	end	4319596	3371455
1m_brain	ITL6_2_2	FALSE	end_max	105368	3371455
1m_brain	ITL6_2_2	FALSE	metadata	16970	3371455
1m_brain	ITL6_2_2	FALSE	start	5792148	3371455
1m_brain	ITV1C_1	FALSE	cell	97470324	58853102
1m_brain	ITV1C_1	FALSE	end	75388196	58853102
1m_brain	ITV1C_1	FALSE	end_max	1839168	58853102
1m_brain	ITV1C_1	FALSE	metadata	164816	58853102
1m_brain	ITV1C_1	FALSE	start	63345444	58853102
1m_brain	ITV1C_2	FALSE	cell	14606700	10566557
1m_brain	ITV1C_2	FALSE	end	13537884	10566557
1m_brain	ITV1C_2	FALSE	end_max	330216	10566557
1m_brain	ITV1C_2	FALSE	metadata	43013	10566557
1m_brain	ITV1C_2	FALSE	start	15444836	10566557
1m_brain	ITV1C_3	FALSE	cell	18713952	13478528
1m_brain	ITV1C_3	FALSE	end	17267888	13478528
1m_brain	ITV1C_3	FALSE	end_max	421212	13478528
1m_brain	ITV1C_3	FALSE	metadata	43577	13478528
1m_brain	ITV1C_3	FALSE	start	18933500	13478528
1m_brain	L6B_1	FALSE	cell	22293596	15964146
1m_brain	L6B_1	FALSE	end	20452892	15964146
1m_brain	L6B_1	FALSE	end_max	498888	15964146
1m_brain	L6B_1	FALSE	metadata	45435	15964146
1m_brain	L6B_1	FALSE	start	21928884	15964146
1m_brain	L6B_2	FALSE	cell	9728072	7592784
1m_brain	L6B_2	FALSE	end	9728152	7592784
1m_brain	L6B_2	FALSE	end_max	237284	7592784
1m_brain	L6B_2	FALSE	metadata	33676	7592784
1m_brain	L6B_2	FALSE	start	11699148	7592784
1m_brain	LAMP5_1	FALSE	cell	39406140	25735144
1m_brain	LAMP5_1	FALSE	end	32966796	25735144
1m_brain	LAMP5_1	FALSE	end_max	804232	25735144
1m_brain	LAMP5_1	FALSE	metadata	130806	25735144
1m_brain	LAMP5_1	FALSE	start	31780052	25735144
1m_brain	LAMP5_2	FALSE	cell	29366944	19279392
1m_brain	LAMP5_2	FALSE	end	24696960	19279392
1m_brain	LAMP5_2	FALSE	end_max	602492	19279392
1m_brain	LAMP5_2	FALSE	metadata	81472	19279392
1m_brain	LAMP5_2	FALSE	start	25207932	19279392
1m_brain	MDGA	FALSE	cell	607388	670182
1m_brain	MDGA	FALSE	end	858748	670182
1m_brain	MDGA	FALSE	end_max	20952	670182
1m_brain	MDGA	FALSE	metadata	9056	670182
1m_brain	MDGA	FALSE	start	1360548	670182
1m_brain	MGC_1	FALSE	cell	928937036	430835103
1m_brain	MGC_1	FALSE	end	551070540	430835103
1m_brain	MGC_1	FALSE	end_max	13463608	430835103
1m_brain	MGC_1	FALSE	metadata	3079457	430835103
1m_brain	MGC_1	FALSE	start	301744676	430835103
1m_brain	MGC_2	FALSE	cell	35868404	21661374
1m_brain	MGC_2	FALSE	end	27745684	21661374
1m_brain	MGC_2	FALSE	end_max	676928	21661374
1m_brain	MGC_2	FALSE	metadata	167609	21661374
1m_brain	MGC_2	FALSE	start	27578292	21661374
1m_brain	MSN_1	FALSE	cell	69363940	45299425
1m_brain	MSN_1	FALSE	end	58012292	45299425
1m_brain	MSN_1	FALSE	end_max	1415616	45299425
1m_brain	MSN_1	FALSE	metadata	110878	45299425
1m_brain	MSN_1	FALSE	start	49670004	45299425
1m_brain	MSN_2	FALSE	cell	53894108	35287032
1m_brain	MSN_2	FALSE	end	45199196	35287032
1m_brain	MSN_2	FALSE	end_max	1102728	35287032
1m_brain	MSN_2	FALSE	metadata	82329	35287032
1m_brain	MSN_2	FALSE	start	41930324	35287032
1m_brain	MSN_3	FALSE	cell	7669140	6088847
1m_brain	MSN_3	FALSE	end	7800868	6088847
1m_brain	MSN_3	FALSE	end_max	190288	6088847
1m_brain	MSN_3	FALSE	metadata	27152	6088847
1m_brain	MSN_3	FALSE	start	9665428	6088847
1m_brain	NP_1	FALSE	cell	18301512	13163892
1m_brain	NP_1	FALSE	end	16865016	13163892
1m_brain	NP_1	FALSE	end_max	411380	13163892
1m_brain	NP_1	FALSE	metadata	44143	13163892
1m_brain	NP_1	FALSE	start	18308396	13163892
1m_brain	NP_2	FALSE	cell	1077652	932082
1m_brain	NP_2	FALSE	end	1194276	932082
1m_brain	NP_2	FALSE	end_max	29136	932082
1m_brain	NP_2	FALSE	metadata	19793	932082
1m_brain	NP_2	FALSE	start	1831316	932082
1m_brain	NP_3	FALSE	cell	5030008	4350256
1m_brain	NP_3	FALSE	end	5573768	4350256
1m_brain	NP_3	FALSE	end_max	135956	4350256
1m_brain	NP_3	FALSE	metadata	20981	4350256
1m_brain	NP_3	FALSE	start	7219036	4350256
1m_brain	OGC_1	FALSE	cell	1313381356	575822244
1m_brain	OGC_1	FALSE	end	736669228	575822244
1m_brain	OGC_1	FALSE	end_max	17994456	575822244
1m_brain	OGC_1	FALSE	metadata	5141870	575822244
1m_brain	OGC_1	FALSE	start	404966836	575822244
1m_brain	OGC_2	FALSE	cell	2099968940	884239237
1m_brain	OGC_2	FALSE	end	1116700236	884239237
1m_brain	OGC_2	FALSE	end_max	27632488	884239237
1m_brain	OGC_2	FALSE	metadata	8322917	884239237
1m_brain	OGC_2	FALSE	start	454219108	884239237
1m_brain	OGC_3	FALSE	cell	1237627360	543252522
1m_brain	OGC_3	FALSE	end	691217552	543252522
1m_brain	OGC_3	FALSE	end_max	16976652	543252522
1m_brain	OGC_3	FALSE	metadata	4518379	543252522
1m_brain	OGC_3	FALSE	start	316127164	543252522
1m_brain	OPC	FALSE	cell	696724992	341764725
1m_brain	OPC	FALSE	end	437248288	341764725
1m_brain	OPC	FALSE	end_max	10680156	341764725
1m_brain	OPC	FALSE	metadata	1992449	341764725
1m_brain	OPC	FALSE	start	239199660	341764725
1m_brain	PIR	FALSE	cell	11563988	9033909
1m_brain	PIR	FALSE	end	11574052	9033909
1m_brain	PIR	FALSE	end_max	282320	9033909
1m_brain	PIR	FALSE	metadata	30113	9033909
1m_brain	PIR	FALSE	start	13684692	9033909
1m_brain	PKJ_1	FALSE	cell	3494460	2867647
1m_brain	PKJ_1	FALSE	end	3674284	2867647
1m_brain	PKJ_1	FALSE	end_max	89624	2867647
1m_brain	PKJ_1	FALSE	metadata	24071	2867647
1m_brain	PKJ_1	FALSE	start	4997556	2867647
1m_brain	PKJ_2	FALSE	cell	1927616	1667150
1m_brain	PKJ_2	FALSE	end	2136096	1667150
1m_brain	PKJ_2	FALSE	end_max	52108	1667150
1m_brain	PKJ_2	FALSE	metadata	17750	1667150
1m_brain	PKJ_2	FALSE	start	3101404	1667150
1m_brain	PVALB_1	FALSE	cell	116373612	70264778
1m_brain	PVALB_1	FALSE	end	89973580	70264778
1m_brain	PVALB_1	FALSE	end_max	2195784	70264778
1m_brain	PVALB_1	FALSE	metadata	194035	70264778
1m_brain	PVALB_1	FALSE	start	72087748	70264778
1m_brain	PVALB_2	FALSE	cell	26903524	19131582
1m_brain	PVALB_2	FALSE	end	24505108	19131582
1m_brain	PVALB_2	FALSE	end_max	597872	19131582
1m_brain	PVALB_2	FALSE	metadata	72397	19131582
1m_brain	PVALB_2	FALSE	start	24889668	19131582
1m_brain	PVALB_3	FALSE	cell	17463184	12441620
1m_brain	PVALB_3	FALSE	end	15938352	12441620
1m_brain	PVALB_3	FALSE	end_max	388812	12441620
1m_brain	PVALB_3	FALSE	metadata	47663	12441620
1m_brain	PVALB_3	FALSE	start	17515548	12441620
1m_brain	PVALB_4	FALSE	cell	18094408	12869392
1m_brain	PVALB_4	FALSE	end	16485752	12869392
1m_brain	PVALB_4	FALSE	end_max	402180	12869392
1m_brain	PVALB_4	FALSE	metadata	50518	12869392
1m_brain	PVALB_4	FALSE	start	17947644	12869392
1m_brain	PV_ChCs	FALSE	cell	30962620	20226493
1m_brain	PV_ChCs	FALSE	end	25906636	20226493
1m_brain	PV_ChCs	FALSE	end_max	632088	20226493
1m_brain	PV_ChCs	FALSE	metadata	88165	20226493
1m_brain	PV_ChCs	FALSE	start	25842900	20226493
1m_brain	SEPGA	FALSE	cell	3037332	2945167
1m_brain	SEPGA	FALSE	end	3773524	2945167
1m_brain	SEPGA	FALSE	end_max	92048	2945167
1m_brain	SEPGA	FALSE	metadata	14608	2945167
1m_brain	SEPGA	FALSE	start	5110916	2945167
1m_brain	SIGA	FALSE	cell	2315336	2002731
1m_brain	SIGA	FALSE	end	2566072	2002731
1m_brain	SIGA	FALSE	end_max	62596	2002731
1m_brain	SIGA	FALSE	metadata	18882	2002731
1m_brain	SIGA	FALSE	start	3631580	2002731
1m_brain	SMC	FALSE	cell	6074136	4319535
1m_brain	SMC	FALSE	end	5532168	4319535
1m_brain	SMC	FALSE	end_max	134996	4319535
1m_brain	SMC	FALSE	metadata	71441	4319535
1m_brain	SMC	FALSE	start	6897324	4319535
1m_brain	SNCG_1	FALSE	cell	9810804	6992075
1m_brain	SNCG_1	FALSE	end	8958468	6992075
1m_brain	SNCG_1	FALSE	end_max	218512	6992075
1m_brain	SNCG_1	FALSE	metadata	44877	6992075
1m_brain	SNCG_1	FALSE	start	10797300	6992075
1m_brain	SNCG_2	FALSE	cell	9058460	6468998
1m_brain	SNCG_2	FALSE	end	8288316	6468998
1m_brain	SNCG_2	FALSE	end_max	202168	6468998
1m_brain	SNCG_2	FALSE	metadata	43815	6468998
1m_brain	SNCG_2	FALSE	start	10063076	6468998
1m_brain	SNCG_3	FALSE	cell	13167680	9507906
1m_brain	SNCG_3	FALSE	end	12181376	9507906
1m_brain	SNCG_3	FALSE	end_max	297132	9507906
1m_brain	SNCG_3	FALSE	metadata	44341	9507906
1m_brain	SNCG_3	FALSE	start	14074908	9507906
1m_brain	SNCG_4	FALSE	cell	7053840	5270106
1m_brain	SNCG_4	FALSE	end	6752288	5270106
1m_brain	SNCG_4	FALSE	end_max	164700	5270106
1m_brain	SNCG_4	FALSE	metadata	41198	5270106
1m_brain	SNCG_4	FALSE	start	8473884	5270106
1m_brain	SNCG_5	FALSE	cell	7160996	5589160
1m_brain	SNCG_5	FALSE	end	7161044	5589160
1m_brain	SNCG_5	FALSE	end_max	174672	5589160
1m_brain	SNCG_5	FALSE	metadata	33310	5589160
1m_brain	SNCG_5	FALSE	start	8915652	5589160
1m_brain	SST_1	FALSE	cell	46925556	29982901
1m_brain	SST_1	FALSE	end	38399780	29982901
1m_brain	SST_1	FALSE	end_max	936976	29982901
1m_brain	SST_1	FALSE	metadata	137299	29982901
1m_brain	SST_1	FALSE	start	35699220	29982901
1m_brain	SST_2	FALSE	cell	22483560	14684015
1m_brain	SST_2	FALSE	end	18806264	14684015
1m_brain	SST_2	FALSE	end_max	458884	14684015
1m_brain	SST_2	FALSE	metadata	100115	14684015
1m_brain	SST_2	FALSE	start	19725980	14684015
1m_brain	SST_3	FALSE	cell	29462292	19241636
1m_brain	SST_3	FALSE	end	24645764	19241636
1m_brain	SST_3	FALSE	end_max	601312	19241636
1m_brain	SST_3	FALSE	metadata	99857	19241636
1m_brain	SST_3	FALSE	start	24897956	19241636
1m_brain	SST_4	FALSE	cell	22944768	14985328
1m_brain	SST_4	FALSE	end	19196480	14985328
1m_brain	SST_4	FALSE	end_max	468300	14985328
1m_brain	SST_4	FALSE	metadata	97408	14985328
1m_brain	SST_4	FALSE	start	20157404	14985328
1m_brain	SST_5	FALSE	cell	22573868	15362960
1m_brain	SST_5	FALSE	end	19680780	15362960
1m_brain	SST_5	FALSE	end_max	480104	15362960
1m_brain	SST_5	FALSE	metadata	74698	15362960
1m_brain	SST_5	FALSE	start	20594884	15362960
1m_brain	SST_CHODL	FALSE	cell	9445908	7372514
1m_brain	SST_CHODL	FALSE	end	9445060	7372514
1m_brain	SST_CHODL	FALSE	end_max	230400	7372514
1m_brain	SST_CHODL	FALSE	metadata	37659	7372514
1m_brain	SST_CHODL	FALSE	start	11294324	7372514
1m_brain	SUB	FALSE	cell	4646500	3626631
1m_brain	SUB	FALSE	end	4646516	3626631
