tool	format	replicate	axis	slice_size	slice_type	slice_id	time_cpu	time_elapsed	entries_loaded
bpcells	cellmajor	rep1	cell	100	random	001	0.6639999999999997	0.669	255263
bpcells	cellmajor	rep1	cell	100	random	002	0.6639999999999996	0.6689999999999996	200844
bpcells	cellmajor	rep1	cell	100	random	003	0.6639999999999997	0.6700000000000004	243925
bpcells	cellmajor	rep1	cell	100	random	004	0.6619999999999999	0.669	184709
bpcells	cellmajor	rep1	cell	100	random	005	0.6610000000000003	0.6640000000000001	220583
bpcells	cellmajor	rep1	cell	100	random	006	0.6659999999999998	0.6699999999999999	198689
bpcells	cellmajor	rep1	cell	100	random	007	0.659	0.6679999999999997	240527
bpcells	cellmajor	rep1	cell	100	random	008	0.6580000000000003	0.6640000000000001	199362
bpcells	cellmajor	rep1	cell	100	random	009	0.6679999999999999	0.6629999999999998	203356
bpcells	cellmajor	rep1	cell	100	random	010	0.6669999999999999	0.6720000000000002	188593
bpcells	cellmajor	rep1	cell	100	sequential	001	0.6249999999999993	0.6299999999999994	80890
bpcells	cellmajor	rep1	cell	100	sequential	002	0.6329999999999998	0.633	133123
bpcells	cellmajor	rep1	cell	100	sequential	003	0.627	0.6280000000000001	176468
bpcells	cellmajor	rep1	cell	100	sequential	004	0.628	0.6280000000000001	177045
bpcells	cellmajor	rep1	cell	100	sequential	005	0.6259999999999997	0.6279999999999997	176565
bpcells	cellmajor	rep1	cell	100	sequential	006	0.6290000000000001	0.6290000000000004	244061
bpcells	cellmajor	rep1	cell	100	sequential	007	0.629	0.6299999999999999	241329
bpcells	cellmajor	rep1	cell	100	sequential	008	0.63	0.6309999999999998	283769
bpcells	cellmajor	rep1	cell	100	sequential	009	0.6309999999999996	0.6310000000000002	306538
bpcells	cellmajor	rep1	cell	100	sequential	010	0.627	0.6259999999999999	332485
bpcells	cellmajor	rep1	cell	1000	random	001	0.8599999999999999	0.8280000000000003	2103783
bpcells	cellmajor	rep1	cell	1000	random	002	0.9040000000000002	0.8339999999999996	2189598
bpcells	cellmajor	rep1	cell	1000	random	003	0.9410000000000002	0.8370000000000002	2075667
bpcells	cellmajor	rep1	cell	1000	random	004	0.8719999999999994	0.8209999999999997	2086627
bpcells	cellmajor	rep1	cell	1000	random	005	0.8559999999999999	0.8320000000000003	2121041
bpcells	cellmajor	rep1	cell	1000	random	006	0.8520000000000003	0.8390000000000004	2238575
bpcells	cellmajor	rep1	cell	1000	random	007	0.8780000000000003	0.8300000000000005	2117167
bpcells	cellmajor	rep1	cell	1000	random	008	0.8569999999999998	0.831	2178672
bpcells	cellmajor	rep1	cell	1000	random	009	0.8730000000000002	0.8260000000000001	2084946
bpcells	cellmajor	rep1	cell	1000	random	010	0.9019999999999998	0.8149999999999995	2186198
bpcells	cellmajor	rep1	cell	1000	sequential	001	0.6209999999999999	0.6280000000000001	2656310
bpcells	cellmajor	rep1	cell	1000	sequential	002	0.625	0.6270000000000002	1988884
bpcells	cellmajor	rep1	cell	1000	sequential	003	0.6189999999999999	0.621	1193776
bpcells	cellmajor	rep1	cell	1000	sequential	004	0.6229999999999997	0.6230000000000002	1716237
bpcells	cellmajor	rep1	cell	1000	sequential	005	0.6300000000000003	0.629	5606085
bpcells	cellmajor	rep1	cell	1000	sequential	006	0.623	0.6209999999999996	1805526
bpcells	cellmajor	rep1	cell	1000	sequential	007	0.6260000000000002	0.6279999999999997	2508580
bpcells	cellmajor	rep1	cell	1000	sequential	008	0.6150000000000001	0.6150000000000002	431993
bpcells	cellmajor	rep1	cell	1000	sequential	009	0.6179999999999999	0.6170000000000004	1283280
bpcells	cellmajor	rep1	cell	1000	sequential	010	0.6370000000000003	0.6390000000000002	6995556
bpcells	cellmajor	rep1	cell	10000	random	001	1.7240000000000002	1.2360000000000002	21523985
bpcells	cellmajor	rep1	cell	10000	random	002	1.5399999999999996	1.174	21582484
bpcells	cellmajor	rep1	cell	10000	random	003	1.5730000000000004	1.142	21710922
bpcells	cellmajor	rep1	cell	10000	random	004	1.5189999999999997	1.114	21557091
bpcells	cellmajor	rep1	cell	10000	random	005	1.5409999999999997	1.0950000000000002	21456885
bpcells	cellmajor	rep1	cell	10000	random	006	1.557	1.0950000000000002	21527438
bpcells	cellmajor	rep1	cell	10000	random	007	1.539	1.0780000000000003	21585808
bpcells	cellmajor	rep1	cell	10000	random	008	1.4750000000000003	1.073	21646585
bpcells	cellmajor	rep1	cell	10000	random	009	1.65	1.0820000000000003	21516026
bpcells	cellmajor	rep1	cell	10000	random	010	1.473	1.0910000000000002	21445864
bpcells	cellmajor	rep1	cell	10000	sequential	001	0.6739999999999999	0.6799999999999997	9037105
bpcells	cellmajor	rep1	cell	10000	sequential	002	0.6910000000000003	0.6929999999999996	16739383
bpcells	cellmajor	rep1	cell	10000	sequential	003	0.6999999999999997	0.7000000000000002	21827533
bpcells	cellmajor	rep1	cell	10000	sequential	004	0.7689999999999999	0.7710000000000004	47175808
bpcells	cellmajor	rep1	cell	10000	sequential	005	0.7629999999999996	0.7619999999999996	46893304
bpcells	cellmajor	rep1	cell	10000	sequential	006	0.7089999999999999	0.7090000000000005	25368693
bpcells	cellmajor	rep1	cell	10000	sequential	007	0.6999999999999997	0.6879999999999997	21274710
bpcells	cellmajor	rep1	cell	10000	sequential	008	0.6960000000000002	0.6970000000000001	17489161
bpcells	cellmajor	rep1	cell	10000	sequential	009	0.7220000000000002	0.7240000000000002	27381151
bpcells	cellmajor	rep1	cell	10000	sequential	010	0.6769999999999995	0.6779999999999995	9970175
bpcells	cellmajor	rep1	cell	100000	random	001	7.113999999999999	3.1770000000000005	216301828
bpcells	cellmajor	rep1	cell	100000	random	002	7.353000000000001	3.21	215870467
bpcells	cellmajor	rep1	cell	100000	random	003	9.116	3.349	216523214
bpcells	cellmajor	rep1	cell	100000	random	004	9.624	3.422	216287462
bpcells	cellmajor	rep1	cell	100000	random	005	9.338	3.395	216443608
bpcells	cellmajor	rep1	cell	100000	random	006	9.33	3.4339999999999993	216210462
bpcells	cellmajor	rep1	cell	100000	random	007	9.163	3.382	215947518
bpcells	cellmajor	rep1	cell	100000	random	008	9.177	3.2200000000000006	215794373
bpcells	cellmajor	rep1	cell	100000	random	009	8.95	3.0629999999999997	216269727
bpcells	cellmajor	rep1	cell	100000	random	010	8.786000000000001	3.06	216626273
bpcells	cellmajor	rep1	cell	100000	sequential	001	1.13	1.104	69555091
bpcells	cellmajor	rep1	cell	100000	sequential	002	1.144	1.137	69303174
bpcells	cellmajor	rep1	cell	100000	sequential	003	1.16	1.1489999999999996	79339640
bpcells	cellmajor	rep1	cell	100000	sequential	004	1.16	1.1350000000000002	87635801
bpcells	cellmajor	rep1	cell	100000	sequential	005	1.253	1.0919999999999996	150236057
bpcells	cellmajor	rep1	cell	100000	sequential	006	1.162	1.1220000000000003	79282936
bpcells	cellmajor	rep1	cell	100000	sequential	007	1.3209999999999995	1.207	153009228
bpcells	cellmajor	rep1	cell	100000	sequential	008	1.4070000000000005	1.3869999999999996	180063262
bpcells	cellmajor	rep1	cell	100000	sequential	009	1.3220000000000005	1.267	155953359
bpcells	cellmajor	rep1	cell	100000	sequential	010	0.9909999999999998	0.943	45904696
bpcells	cellmajor	rep1	cell	300000	random	001	20.77	6.132999999999999	648613446
bpcells	cellmajor	rep1	cell	300000	random	002	20.732	5.47	647499299
bpcells	cellmajor	rep1	cell	300000	random	003	19.53	4.782000000000001	648140443
bpcells	cellmajor	rep1	cell	300000	random	004	20.346	5.5329999999999995	646613501
bpcells	cellmajor	rep1	cell	300000	random	005	20.434	5.6480000000000015	649007219
bpcells	cellmajor	rep1	cell	300000	random	006	20.781	5.616	646936324
bpcells	cellmajor	rep1	cell	300000	random	007	19.707	5.198999999999999	645660552
bpcells	cellmajor	rep1	cell	300000	random	008	21.149	5.8580000000000005	646845203
bpcells	cellmajor	rep1	cell	300000	random	009	21.835	6.010000000000002	648533014
bpcells	cellmajor	rep1	cell	300000	random	010	20.986	5.744	647874240
bpcells	cellmajor	rep1	cell	300000	sequential	001	2.758	1.838	540534732
bpcells	cellmajor	rep1	cell	300000	sequential	002	3.6549999999999994	2.628	874381919
bpcells	cellmajor	rep1	cell	300000	sequential	003	3.5269999999999997	2.323	851915523
bpcells	cellmajor	rep1	cell	300000	sequential	004	5.376	2.6410000000000005	1652862106
bpcells	cellmajor	rep1	cell	300000	sequential	005	2.255	1.6890000000000005	360119687
bpcells	cellmajor	rep1	cell	300000	sequential	006	2.863999999999999	1.905	598147731
bpcells	cellmajor	rep1	cell	300000	sequential	007	1.767	1.525	175006627
bpcells	cellmajor	rep1	cell	300000	sequential	008	4.835999999999999	2.583	1318660483
bpcells	cellmajor	rep1	cell	300000	sequential	009	2.625	1.802	505857952
bpcells	cellmajor	rep1	cell	300000	sequential	010	2.9100000000000006	1.8780000000000008	641938092
bpcells	cellmajor	rep1	gene	1	random	001	296.142	20.353	39475
bpcells	cellmajor	rep1	gene	1	random	002	293.446	19.722	10912
bpcells	cellmajor	rep1	gene	1	random	003	294.203	22.063	826
bpcells	cellmajor	rep1	gene	1	random	004	291.291	21.742	234451
bpcells	cellmajor	rep1	gene	1	random	005	298.753	23.214	5379870
bpcells	cellmajor	rep1	gene	1	random	006	294.39300000000003	23.54	29740
bpcells	cellmajor	rep1	gene	1	random	007	296.497	24.047	4572078
bpcells	cellmajor	rep1	gene	1	random	008	304.21900000000005	24.158	319
bpcells	cellmajor	rep1	gene	1	random	009	298.31800000000004	19.369	292790
bpcells	cellmajor	rep1	gene	1	random	010	294.45099999999996	20.125	88431
bpcells	cellmajor	rep1	gene	1	sequential	001	268.403	14.387	8405
bpcells	cellmajor	rep1	gene	1	sequential	002	280.515	20.155	469073
bpcells	cellmajor	rep1	gene	1	sequential	003	284.757	22.832	256
bpcells	cellmajor	rep1	gene	1	sequential	004	284.69	20.966	697
bpcells	cellmajor	rep1	gene	1	sequential	005	284.02200000000005	21.599	70651
bpcells	cellmajor	rep1	gene	1	sequential	006	293.63	23.423	3220
bpcells	cellmajor	rep1	gene	1	sequential	007	284.451	19.976	28
bpcells	cellmajor	rep1	gene	1	sequential	008	290.42199999999997	21.848000000000003	5889061
bpcells	cellmajor	rep1	gene	1	sequential	009	289.158	20.058	5824
bpcells	cellmajor	rep1	gene	1	sequential	010	290.65	20.792	18595333
bpcells	cellmajor	rep1	gene	10	random	001	306.395	21.871	42619032
bpcells	cellmajor	rep1	gene	10	random	002	297.738	16.795	345855
bpcells	cellmajor	rep1	gene	10	random	003	304.95099999999996	25.643	17853445
bpcells	cellmajor	rep1	gene	10	random	004	299.943	20.875	15245180
bpcells	cellmajor	rep1	gene	10	random	005	310.633	25.823	26254672
bpcells	cellmajor	rep1	gene	10	random	006	314.759	27.789	7445840
bpcells	cellmajor	rep1	gene	10	random	007	298.795	13.328	19325203
bpcells	cellmajor	rep1	gene	10	random	008	306.02299999999997	25.113	22966067
bpcells	cellmajor	rep1	gene	10	random	009	312.24600000000004	25.968000000000004	18540021
bpcells	cellmajor	rep1	gene	10	random	010	313.759	26.031	49497750
bpcells	cellmajor	rep1	gene	10	sequential	001	303.514	24.563	57003345
bpcells	cellmajor	rep1	gene	10	sequential	002	297.06399999999996	19.166	29367130
bpcells	cellmajor	rep1	gene	10	sequential	003	309.79	26.407	49935993
bpcells	cellmajor	rep1	gene	10	sequential	004	296.362	18.321	56752978
bpcells	cellmajor	rep1	gene	10	sequential	005	286.196	15.166	334788
bpcells	cellmajor	rep1	gene	10	sequential	006	296.89300000000003	20.318	9558244
bpcells	cellmajor	rep1	gene	10	sequential	007	299.729	14.976000000000004	162115
bpcells	cellmajor	rep1	gene	10	sequential	008	283.425	13.672	173102
bpcells	cellmajor	rep1	gene	10	sequential	009	295.33799999999997	19.344	2720
bpcells	cellmajor	rep1	gene	10	sequential	010	294.165	18.763	8966
bpcells	cellmajor	rep1	gene	100	random	001	303.95599999999996	16.911	188007877
bpcells	cellmajor	rep1	gene	100	random	002	281.404	12.869999999999996	183843925
bpcells	cellmajor	rep1	gene	100	random	003	307.039	24.589	200310196
bpcells	cellmajor	rep1	gene	100	random	004	283.702	12.838	144487462
bpcells	cellmajor	rep1	gene	100	random	005	309.458	21.324	103554818
bpcells	cellmajor	rep1	gene	100	random	006	287.246	16.117	102051912
bpcells	cellmajor	rep1	gene	100	random	007	305.394	21.382	115538142
bpcells	cellmajor	rep1	gene	100	random	008	291.677	16.923	136927646
bpcells	cellmajor	rep1	gene	100	random	009	305.3	21.663	150606224
bpcells	cellmajor	rep1	gene	100	random	010	287.18	16.13	157028252
bpcells	cellmajor	rep1	gene	100	sequential	001	288.197	13.459	1249782
bpcells	cellmajor	rep1	gene	100	sequential	002	294.948	16.768	4195319
bpcells	cellmajor	rep1	gene	100	sequential	003	295.195	16.575	64897940
bpcells	cellmajor	rep1	gene	100	sequential	004	305.297	23.398000000000003	6166514
bpcells	cellmajor	rep1	gene	100	sequential	005	297.54400000000004	14.166	249304590
bpcells	cellmajor	rep1	gene	100	sequential	006	300.743	21.678	3878545
bpcells	cellmajor	rep1	gene	100	sequential	007	298.26	18.58	2573526
bpcells	cellmajor	rep1	gene	100	sequential	008	291.293	16.478	3205980
bpcells	cellmajor	rep1	gene	100	sequential	009	296.959	21.263	619199008
bpcells	cellmajor	rep1	gene	100	sequential	010	315.292	26.46	21239213
bpcells	cellmajor	rep1	gene	300	random	001	294.56	14.784000000000002	485855708
bpcells	cellmajor	rep1	gene	300	random	002	297.30199999999996	13.789	491796881
bpcells	cellmajor	rep1	gene	300	random	003	311.697	24.002	465034565
bpcells	cellmajor	rep1	gene	300	random	004	299.319	19.576	443602972
bpcells	cellmajor	rep1	gene	300	random	005	312.959	27.625	515296945
bpcells	cellmajor	rep1	gene	300	random	006	311.259	20.967	482805339
bpcells	cellmajor	rep1	gene	300	random	007	291.626	13.835	499335858
bpcells	cellmajor	rep1	gene	300	random	008	302.488	18.66	445853223
bpcells	cellmajor	rep1	gene	300	random	009	286.029	13.391	420942939
bpcells	cellmajor	rep1	gene	300	random	010	291.281	14.627	520331555
bpcells	cellmajor	rep1	gene	300	sequential	001	304.741	21.11	1075241161
bpcells	cellmajor	rep1	gene	300	sequential	002	305.466	22.916000000000004	1532889651
bpcells	cellmajor	rep1	gene	300	sequential	003	291.389	14.941	11651242
bpcells	cellmajor	rep1	gene	300	sequential	004	300.378	21.578	17035386
bpcells	cellmajor	rep1	gene	300	sequential	005	287.879	14.755999999999998	3952546
bpcells	cellmajor	rep1	gene	300	sequential	006	299.621	18.063	96023905
bpcells	cellmajor	rep1	gene	300	sequential	007	299.196	18.542	74468997
bpcells	cellmajor	rep1	gene	300	sequential	008	298.149	20.473	17052807
bpcells	cellmajor	rep1	gene	300	sequential	009	305.12	24.122	961234672
bpcells	cellmajor	rep1	gene	300	sequential	010	293.081	16.192	17389424
bpcells	cellmajor	rep1	gene	60530	sequential	001	289.788	21.717	95645830752
bpcells	cellmajor	rep2	cell	1	random	001	0.6170000000000004	0.6180000000000003	1620
bpcells	cellmajor	rep2	cell	1	random	002	0.618	0.6189999999999998	1393
bpcells	cellmajor	rep2	cell	1	random	003	0.6209999999999998	0.621	5528
bpcells	cellmajor	rep2	cell	1	random	004	0.6190000000000001	0.6189999999999998	2600
bpcells	cellmajor	rep2	cell	1	random	005	0.6199999999999999	0.6200000000000001	2736
bpcells	cellmajor	rep2	cell	1	random	006	0.6189999999999999	0.6190000000000002	637
bpcells	cellmajor	rep2	cell	1	random	007	0.6150000000000002	0.6150000000000002	690
bpcells	cellmajor	rep2	cell	1	random	008	0.6219999999999999	0.6219999999999999	1604
bpcells	cellmajor	rep2	cell	1	random	009	0.617	0.617	1496
bpcells	cellmajor	rep2	cell	1	random	010	0.623	0.6240000000000001	936
bpcells	cellmajor	rep2	cell	1	sequential	001	0.6599999999999999	0.665	1227
bpcells	cellmajor	rep2	cell	1	sequential	002	0.6159999999999998	0.6179999999999999	244
bpcells	cellmajor	rep2	cell	1	sequential	003	0.6210000000000003	0.6219999999999999	1779
bpcells	cellmajor	rep2	cell	1	sequential	004	0.636	0.6360000000000001	2141
bpcells	cellmajor	rep2	cell	1	sequential	005	0.6199999999999999	0.6189999999999998	1842
bpcells	cellmajor	rep2	cell	1	sequential	006	0.6130000000000001	0.6139999999999999	3686
bpcells	cellmajor	rep2	cell	1	sequential	007	0.6160000000000004	0.6170000000000004	986
bpcells	cellmajor	rep2	cell	1	sequential	008	0.616	0.6159999999999997	607
bpcells	cellmajor	rep2	cell	1	sequential	009	0.617	0.6179999999999994	2065
bpcells	cellmajor	rep2	cell	1	sequential	010	0.6150000000000003	0.6149999999999998	902
bpcells	cellmajor	rep2	cell	10	random	001	0.6319999999999999	0.6319999999999997	22019
bpcells	cellmajor	rep2	cell	10	random	002	0.6290000000000001	0.6280000000000001	18663
bpcells	cellmajor	rep2	cell	10	random	003	0.6269999999999998	0.6259999999999999	13522
bpcells	cellmajor	rep2	cell	10	random	004	0.6270000000000003	0.6249999999999996	9603
bpcells	cellmajor	rep2	cell	10	random	005	0.6269999999999999	0.6259999999999999	27337
bpcells	cellmajor	rep2	cell	10	random	006	0.6269999999999999	0.6250000000000004	18738
bpcells	cellmajor	rep2	cell	10	random	007	0.6349999999999997	0.6339999999999995	22797
bpcells	cellmajor	rep2	cell	10	random	008	0.63	0.629	17717
bpcells	cellmajor	rep2	cell	10	random	009	0.6309999999999998	0.629	23868
bpcells	cellmajor	rep2	cell	10	random	010	0.6289999999999999	0.6280000000000001	15870
bpcells	cellmajor	rep2	cell	10	sequential	001	0.6270000000000003	0.6320000000000001	16899
bpcells	cellmajor	rep2	cell	10	sequential	002	0.6260000000000001	0.6260000000000003	18994
bpcells	cellmajor	rep2	cell	10	sequential	003	0.6229999999999999	0.6239999999999997	11307
bpcells	cellmajor	rep2	cell	10	sequential	004	0.6219999999999998	0.6230000000000002	17935
bpcells	cellmajor	rep2	cell	10	sequential	005	0.6239999999999999	0.6240000000000001	4431
bpcells	cellmajor	rep2	cell	10	sequential	006	0.6250000000000003	0.6270000000000002	79381
bpcells	cellmajor	rep2	cell	10	sequential	007	0.6240000000000001	0.6259999999999994	24219
bpcells	cellmajor	rep2	cell	10	sequential	008	0.6279999999999999	0.6280000000000001	13630
bpcells	cellmajor	rep2	cell	10	sequential	009	0.6269999999999998	0.6290000000000004	86435
bpcells	cellmajor	rep2	cell	10	sequential	010	0.627	0.6279999999999997	50471
bpcells	cellmajor	rep2	cell	100	random	001	0.6679999999999999	0.6710000000000003	255263
bpcells	cellmajor	rep2	cell	100	random	002	0.6669999999999999	0.661	200844
bpcells	cellmajor	rep2	cell	100	random	003	0.6610000000000004	0.6610000000000005	243925
bpcells	cellmajor	rep2	cell	100	random	004	0.6789999999999998	0.6629999999999998	184709
bpcells	cellmajor	rep2	cell	100	random	005	0.6589999999999997	0.6659999999999999	220583
bpcells	cellmajor	rep2	cell	100	random	006	0.6599999999999996	0.661	198689
bpcells	cellmajor	rep2	cell	100	random	007	0.657	0.6620000000000004	240527
bpcells	cellmajor	rep2	cell	100	random	008	0.6579999999999998	0.6599999999999997	199362
bpcells	cellmajor	rep2	cell	100	random	009	0.6569999999999998	0.6629999999999998	203356
bpcells	cellmajor	rep2	cell	100	random	010	0.6559999999999999	0.6630000000000003	188593
bpcells	cellmajor	rep2	cell	100	sequential	001	0.621	0.6259999999999999	80890
bpcells	cellmajor	rep2	cell	100	sequential	002	0.6209999999999998	0.6209999999999996	133123
bpcells	cellmajor	rep2	cell	100	sequential	003	0.6289999999999998	0.6299999999999999	176468
bpcells	cellmajor	rep2	cell	100	sequential	004	0.6229999999999997	0.6240000000000001	177045
bpcells	cellmajor	rep2	cell	100	sequential	005	0.6200000000000003	0.6219999999999994	176565
bpcells	cellmajor	rep2	cell	100	sequential	006	0.6220000000000003	0.621	244061
bpcells	cellmajor	rep2	cell	100	sequential	007	0.6219999999999999	0.6230000000000002	241329
bpcells	cellmajor	rep2	cell	100	sequential	008	0.6219999999999999	0.6229999999999998	283769
bpcells	cellmajor	rep2	cell	100	sequential	009	0.624	0.6240000000000001	306538
bpcells	cellmajor	rep2	cell	100	sequential	010	0.6250000000000001	0.6259999999999999	332485
bpcells	cellmajor	rep2	cell	1000	random	001	0.843	0.8239999999999998	2103783
bpcells	cellmajor	rep2	cell	1000	random	002	0.8489999999999998	0.835	2189598
bpcells	cellmajor	rep2	cell	1000	random	003	0.8480000000000002	0.8300000000000001	2075667
bpcells	cellmajor	rep2	cell	1000	random	004	0.8420000000000003	0.8170000000000002	2086627
bpcells	cellmajor	rep2	cell	1000	random	005	0.8680000000000003	0.8230000000000004	2121041
bpcells	cellmajor	rep2	cell	1000	random	006	0.8410000000000002	0.815	2238575
bpcells	cellmajor	rep2	cell	1000	random	007	0.8460000000000003	0.8199999999999998	2117167
bpcells	cellmajor	rep2	cell	1000	random	008	0.8399999999999999	0.8220000000000001	2178672
bpcells	cellmajor	rep2	cell	1000	random	009	0.8750000000000002	0.8169999999999997	2084946
bpcells	cellmajor	rep2	cell	1000	random	010	0.8759999999999999	0.815	2186198
bpcells	cellmajor	rep2	cell	1000	sequential	001	0.6159999999999999	0.6230000000000002	2656310
bpcells	cellmajor	rep2	cell	1000	sequential	002	0.6160000000000002	0.6169999999999995	1988884
bpcells	cellmajor	rep2	cell	1000	sequential	003	0.6109999999999997	0.6130000000000004	1193776
bpcells	cellmajor	rep2	cell	1000	sequential	004	0.6140000000000001	0.613	1716237
bpcells	cellmajor	rep2	cell	1000	sequential	005	0.6239999999999997	0.6240000000000001	5606085
bpcells	cellmajor	rep2	cell	1000	sequential	006	0.6190000000000002	0.6190000000000002	1805526
bpcells	cellmajor	rep2	cell	1000	sequential	007	0.6159999999999997	0.6160000000000001	2508580
bpcells	cellmajor	rep2	cell	1000	sequential	008	0.613	0.6129999999999995	431993
bpcells	cellmajor	rep2	cell	1000	sequential	009	0.6139999999999999	0.613	1283280
bpcells	cellmajor	rep2	cell	1000	sequential	010	0.631	0.6330000000000005	6995556
bpcells	cellmajor	rep2	cell	10000	random	001	1.6989999999999996	1.247	21523985
bpcells	cellmajor	rep2	cell	10000	random	002	1.5019999999999998	1.1769999999999996	21582484
bpcells	cellmajor	rep2	cell	10000	random	003	1.489	1.1369999999999996	21710922
bpcells	cellmajor	rep2	cell	10000	random	004	1.478	1.117	21557091
bpcells	cellmajor	rep2	cell	10000	random	005	1.5599999999999996	1.1039999999999996	21456885
bpcells	cellmajor	rep2	cell	10000	random	006	1.454	1.082	21527438
bpcells	cellmajor	rep2	cell	10000	random	007	1.4430000000000005	1.0729999999999995	21585808
bpcells	cellmajor	rep2	cell	10000	random	008	1.436	1.0810000000000004	21646585
bpcells	cellmajor	rep2	cell	10000	random	009	1.5070000000000006	1.0739999999999998	21516026
bpcells	cellmajor	rep2	cell	10000	random	010	1.4330000000000005	1.0810000000000004	21445864
bpcells	cellmajor	rep2	cell	10000	sequential	001	0.6670000000000001	0.6720000000000002	9037105
bpcells	cellmajor	rep2	cell	10000	sequential	002	0.6860000000000003	0.6879999999999997	16739383
bpcells	cellmajor	rep2	cell	10000	sequential	003	0.694	0.6949999999999998	21827533
bpcells	cellmajor	rep2	cell	10000	sequential	004	0.7550000000000003	0.7559999999999998	47175808
bpcells	cellmajor	rep2	cell	10000	sequential	005	0.7560000000000002	0.7559999999999998	46893304
bpcells	cellmajor	rep2	cell	10000	sequential	006	0.7000000000000001	0.6999999999999997	25368693
bpcells	cellmajor	rep2	cell	10000	sequential	007	0.6969999999999998	0.6859999999999999	21274710
bpcells	cellmajor	rep2	cell	10000	sequential	008	0.6859999999999996	0.6880000000000002	17489161
bpcells	cellmajor	rep2	cell	10000	sequential	009	0.7180000000000002	0.7189999999999994	27381151
bpcells	cellmajor	rep2	cell	10000	sequential	010	0.6700000000000002	0.6709999999999998	9970175
