tool	dataset	replicate	time_cpu	time_elapsed	max_rss
dgCMatrix	20k_pbmc	rep3	1.0820000000000003	1.082	3419684864
dgCMatrix	20k_pbmc	rep4	1.089	1.088	3419688960
dgCMatrix	20k_pbmc	rep5	1.0820000000000007	1.0820000000000007	3419688960
dgCMatrix	480k_tabula_sapiens	rep1	35.976000000000006	35.978999999999985	74143633408
dgCMatrix	480k_tabula_sapiens	rep2	42.79	42.78899999999999	74143657984
dgCMatrix	480k_tabula_sapiens	rep3	36.195	36.196	74143657984
dgCMatrix	480k_tabula_sapiens	rep4	41.02299999999998	41.023	74143657984
dgCMatrix	480k_tabula_sapiens	rep5	35.853000000000016	35.85499999999999	74143657984
dgCMatrix	500k_drugscreen	rep1	49.612	49.609999999999985	97761140736
dgCMatrix	500k_drugscreen	rep2	47.80800000000001	47.81199999999998	97761153024
dgCMatrix	500k_drugscreen	rep3	54.28	54.27899999999997	97761144832
dgCMatrix	500k_drugscreen	rep4	54.21400000000002	54.21799999999999	97761144832
dgCMatrix	500k_drugscreen	rep5	48.349	48.351999999999975	97761153024
scipy	130k_thymus_atlas	rep1	6.410319087	6.412590503692627	6433157120
scipy	130k_thymus_atlas	rep2	6.457886055	6.494722366333008	6433157120
scipy	130k_thymus_atlas	rep3	6.434675871	6.436429262161255	6433157120
scipy	130k_thymus_atlas	rep4	6.409576052999999	6.411267042160034	6433161216
scipy	130k_thymus_atlas	rep5	6.589810841000001	6.592428207397461	6433157120
scipy	1m_neurons	rep1	89.40137842499999	89.40153074264526	90315841536
scipy	1m_neurons	rep2	99.35082529	99.3610134124756	90315841536
scipy	1m_neurons	rep3	98.183200532	98.19256472587584	90315845632
scipy	1m_neurons	rep4	89.793035926	89.79286885261536	90315841536
scipy	1m_neurons	rep5	92.51751424	92.5156545639038	90315841536
scipy	20k_pbmc	rep1	1.0748571379999996	1.0766515731811523	1502375936
scipy	20k_pbmc	rep2	1.1174723529999993	1.11922025680542	1502494720
scipy	20k_pbmc	rep3	1.094523455	1.106804132461548	1502371840
scipy	20k_pbmc	rep4	1.06621728	1.0894896984100342	1502371840
scipy	20k_pbmc	rep5	1.0785989139999996	1.0822045803070068	1502367744
scipy	2m_perturbseq	rep1	235.372965965	246.01848244667053	213751160832
scipy	2m_perturbseq	rep2	249.231693873	287.069060087204	212188778496
scipy	2m_perturbseq	rep3	232.46520957400003	264.7977707386017	212076064768
scipy	2m_perturbseq	rep4	251.973046418	252.2483236789703	216299110400
scipy	2m_perturbseq	rep5	247.230744352	354.1770932674408	212121415680
scipy	480k_tabula_sapiens	rep1	37.212615526	37.2133150100708	28423737344
scipy	480k_tabula_sapiens	rep2	33.19719571	33.201810359954834	28423741440
scipy	480k_tabula_sapiens	rep3	33.865736669	33.87137269973755	28423737344
scipy	480k_tabula_sapiens	rep4	34.357836645	34.35823893547058	28423864320
scipy	480k_tabula_sapiens	rep5	34.423811298000004	34.424628019332886	28423741440
scipy	4m_fetal	rep1	97.353159713	97.35282301902772	90533433344
scipy	4m_fetal	rep2	97.829137901	97.83421921730042	90533556224
scipy	4m_fetal	rep3	93.901982256	93.9020025730133	90533437440
scipy	4m_fetal	rep4	96.047088149	96.095796585083	90533433344
scipy	4m_fetal	rep5	92.571634984	92.6198239326477	90533437440
scipy	500k_drugscreen	rep1	43.66426490100001	43.664851903915405	37483573248
scipy	500k_drugscreen	rep2	43.979902720000005	43.98585677146912	37483573248
scipy	500k_drugscreen	rep3	44.638181125	44.63897228240967	37483696128
scipy	500k_drugscreen	rep4	43.81359762	43.84094023704529	37483687936
scipy	500k_drugscreen	rep5	47.221279081	47.22625732421875	37483573248
